关键词,店铺名称,地理位置,产品名称,产品价格,付款人数,店铺链接,图片地址,商品链接,商品ID,店铺类型,当前页面网址,当前时间,页码
粽子,天猫超市,上海,御庄园嘉兴粽子真空鲜肉粽130g*1散装端午粽子,5.9,141人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=725677994,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/153/O1CN01TwK5mX1D07CoKpHbf_!!153-0-lubanu.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=618362445690&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=3,6.18362E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:51.1,1
粽子,五芳斋官方旗舰店,浙江嘉兴,五芳斋粽子蛋黄肉粽大肉粽豆沙棕子浙江特产新鲜散装嘉兴粽子肉粽,54.9,3548人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=190903296,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/190903296/O1CN01sYGlqL1aDc1yAMT7N_!!190903296-0-lubanu-s.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=606829727910&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=3,6.0683E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:52.2,1
粽子,五芳斋官方旗舰店,浙江嘉兴,五芳斋粽子竹篮礼盒华礼嘉兴特产蛋黄鲜肉粽豆沙咸蛋端午送礼团购,159,4.5万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=190903296,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/190903296/O1CN01gkq8X11aDc2Y1s5TP_!!190903296-0-lubanu-s.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=568596648357&ns=1&abbucket=3,5.68597E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:53.3,1
粽子,五芳斋官方旗舰店,浙江嘉兴,五芳斋粽子礼盒装鲜肉咸蛋黄大肉粽嘉兴豆沙甜粽端午团购散装礼品,52.9,15万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=190903296,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/190903296/O1CN01P5iWgt1aDc2VM29su_!!190903296-0-lubanu-s.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=611231682354&ns=1&abbucket=3,6.11232E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:54.4,1
粽子,五芳斋浙江专卖店,浙江嘉兴,五芳斋粽子新鲜猪肉棕子10只大肉粽早餐散装团购批发特产嘉兴粽子,54.9,3.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2455222931,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2455222931/O1CN01VP5iyK1XWRTakDZkE_!!2455222931-0-lubanu-s.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=45442661026&ns=1&abbucket=3,45442661026,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:55.5,1
粽子,资野旗舰店,湖南长沙,资野竹篮粽子礼盒装蛋黄鲜肉粽子组合装端午节特产员工福利团购,268,2816人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2898958275,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2898958275/O1CN01r7EkdB2B003HVdywW_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=549510198672&ns=1&abbucket=3,5.4951E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:56.6,1
粽子,五芳斋禾昌专卖店,浙江嘉兴,五芳斋粽子礼盒装端午节嘉兴特产蛋黄肉粽鲜肉送礼品福利团购批发,55.9,9000+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2200777979231,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2200777979231/O1CN01QsLeLk2I3qgnaBfPv_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=617706335748&ns=1&abbucket=3,6.17706E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:57.7,1
粽子,嘉兴三珍斋旗舰店,浙江嘉兴,三珍斋嘉兴粽子肉粽蛋黄鲜肉粽散装咸大肉棕子早餐食品端午节批发,45.9,1.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=89693987,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/89693987/O1CN01OtJypo1fK5imqTKgj_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=567357102176&ns=1&abbucket=3,5.67357E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:58.8,1
粽子,荣庆和旗舰店,浙江嘉兴,荣庆和祈福端午粽子礼盒装嘉兴粽子礼盒特产定制送礼团购蛋黄肉粽,118,1776人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=848515609,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=616112185450&ns=1&abbucket=3,6.16112E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,15:59.9,1
粽子,五芳斋谦盛和专卖店,天津,【顺丰航空】五芳斋礼遇粽子礼盒装1400g蛋黄端午节团购送礼礼品,299,2994人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2207403341305,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=616858682838&ns=1&abbucket=3,6.16859E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:01.0,1
粽子,七星供销社食品专营店,浙江嘉兴,五芳斋粽子礼盒装蛋黄鲜肉粽端午节嘉兴特产礼品团购送礼福利批发,75.9,1996人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2452372530,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=616905940210&ns=1&abbucket=3,6.16906E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:02.1,1
粽子,草帽路飞食品旗舰店,福建福州,海鲜鲍鱼烧肉粽板栗咸蛋黄手工新鲜大粽子端午节送礼品团购礼盒装,298,810人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2201297572950,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=616473955787&ns=1&abbucket=3,6.16474E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:03.2,1
粽子,北京稻香村旗舰店,北京,北京稻香村小枣豆沙粽子速食蜜枣甜粽端午节礼盒礼盒装高档礼品,299,777人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2208354929,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=612820185653&ns=1&abbucket=3,6.1282E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:04.3,1
粽子,红船旗舰店,浙江嘉兴,嘉兴特产红船粽子真空160g*10只蛋黄鲜肉粽嘉兴粽子蛋黄粽包邮,59.9,5000+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1114519084,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=19174619011&ns=1&abbucket=3,19174619011,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:05.4,1
粽子,真真老老旗舰店,浙江嘉兴,真真老老嘉兴粽子礼盒装肉粽糯米鲜肉蛋黄肉大粽子甜粽端午节礼品,69.9,9.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=735797771,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=614012266376&ns=1&abbucket=3,6.14012E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:06.5,1
粽子,北京稻香村旗舰店,北京,北京稻香村粽子豆沙小枣甜粽鲜肉粽端午节粽子礼盒高档礼物礼品,179,1457人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2208354929,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=612548692138&ns=1&abbucket=3,6.12549E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:07.6,1
粽子,广州酒家旗舰店,广东广州,广州酒家粽子礼盒蛋黄肉粽子豆沙蜜枣粽甜粽礼盒装端午送礼手信,98,9000+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1023528406,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=617459966038&ns=1&abbucket=3,6.1746E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:08.7,1
粽子,三只松鼠旗舰店,安徽芜湖,【三只松鼠_壹笼粽礼盒装1KG】嘉兴特产粽子端午送礼多口味肉粽,69.9,1.5万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=880734502,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=569161623075&ns=1&abbucket=3,5.69162E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:10.4,1
